dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,outcome,source_group,targets_elapsed_seconds,targets_return_code,targets_status,unit_name,unsafe_target_count,workspace_dir,workunit_key,compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,fix_status,fix_success_count,found_bugs,needs_review,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,top_api_status,top_target_api_id,top_target_path,top_target_score,error_message,error_stage
insert_many-0.1.1,12.01,,0.77,0,ok,0.24,0,ok,10.77,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/insert_many-0.1.1/Cargo.toml,erasan_crates/insert_many-0.1.1/Cargo.toml,no_targets,ERASAN,0.24,0,ok,insert_many-0.1.1,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/insert_many-0.1.1,erasan_crates/insert_many-0.1.1/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
futures-0.3.5,132.76,futures-task workspace member,0.53,0,ok,0.24,0,ok,52.09,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/futures-0.3.5/futures-task/Cargo.toml,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,validated,ERASAN,0.24,0,ok,futures-0.3.5-futures-task,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/futures-0.3.5-futures-task,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],79.66,0,ok,0.0,0,0,1,0,ok,validated,api::futures_task::future_obj::LocalFutureObj::into_future_obj,futures_task::future_obj::LocalFutureObj::into_future_obj,3.55,,
futures-0.3.3,156.11,futures-task workspace member,0.51,0,ok,0.26,0,ok,68.92,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/futures-0.3.3/futures-task/Cargo.toml,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,validated,ERASAN,0.24,0,ok,futures-0.3.3-futures-task,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/futures-0.3.3-futures-task,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],86.18,0,ok,0.0,0,0,1,0,ok,validated,api::futures_task::future_obj::LocalFutureObj::into_future_obj,futures_task::future_obj::LocalFutureObj::into_future_obj,3.55,,
endian_trait-0.6.0,51.51,,0.47,0,ok,0.24,0,ok,50.56,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/endian_trait-0.6.0/Cargo.toml,erasan_crates/endian_trait-0.6.0/Cargo.toml,no_targets,ERASAN,0.24,0,ok,endian_trait-0.6.0,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/endian_trait-0.6.0,erasan_crates/endian_trait-0.6.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
cbox-0.3.0,40.32,,0.5,0,ok,0.24,0,ok,11.22,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/cbox-0.3.0/Cargo.toml,erasan_crates/cbox-0.3.0/Cargo.toml,validated,ERASAN,0.24,0,ok,cbox-0.3.0,6,/tmp/seraph-deepsurf-round1-fullrerun-20260429/cbox-0.3.0,erasan_crates/cbox-0.3.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],28.11,0,ok,0.0,0,0,1,0,ok,validated,api::cbox::CBox::as_semi,cbox::CBox::as_semi,2.3,,
bumpalo-3.11.0,95.14,,0.5,0,ok,0.27,0,ok,25.32,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/bumpalo-3.11.0/Cargo.toml,erasan_crates/bumpalo-3.11.0/Cargo.toml,validated,ERASAN,0.24,0,ok,bumpalo-3.11.0,14,/tmp/seraph-deepsurf-round1-fullrerun-20260429/bumpalo-3.11.0,erasan_crates/bumpalo-3.11.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],68.81,0,ok,0.2692307692307692,0,0,1,0,ok,validated,api::bumpalo::Bump::iter_allocated_chunks,bumpalo::Bump::iter_allocated_chunks,3.55,,
secp256k1-0.22.0,0.62,,0.62,1,failed,,,,,,,/tmp/deepSURF-main/dataset/erasan_crates/secp256k1-0.22.0/Cargo.toml,erasan_crates/secp256k1-0.22.0/Cargo.toml,extract_failed,ERASAN,,,,secp256k1-0.22.0,,/tmp/seraph-deepsurf-round1-fullrerun-20260429/secp256k1-0.22.0,erasan_crates/secp256k1-0.22.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 640256",extract
pnet_packet-0.26.0,0.31,,0.31,1,failed,,,,,,,/tmp/deepSURF-main/dataset/erasan_crates/pnet_packet-0.26.0/Cargo.toml,erasan_crates/pnet_packet-0.26.0/Cargo.toml,extract_failed,ERASAN,,,,pnet_packet-0.26.0,,/tmp/seraph-deepsurf-round1-fullrerun-20260429/pnet_packet-0.26.0,erasan_crates/pnet_packet-0.26.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,  thread caused non-unwinding panic. aborting.,extract
rusqlite-0.26.1,444.45,,1.03,0,ok,0.39,0,ok,192.09,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/rusqlite-0.26.1/Cargo.toml,erasan_crates/rusqlite-0.26.1/Cargo.toml,validated,ERASAN,0.24,0,ok,rusqlite-0.26.1,10,/tmp/seraph-deepsurf-round1-fullrerun-20260429/rusqlite-0.26.1,erasan_crates/rusqlite-0.26.1/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],250.7,0,ok,0.09090909090909091,0,0,1,0,ok,validated,api::rusqlite::OpenFlags::from_bits_unchecked,rusqlite::OpenFlags::from_bits_unchecked,5.05,,
tokio-1.24.1,106.27,,0.63,0,ok,0.26,0,ok,40.79,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/tokio-1.24.1/Cargo.toml,erasan_crates/tokio-1.24.1/Cargo.toml,validated,ERASAN,0.24,0,ok,tokio-1.24.1,11,/tmp/seraph-deepsurf-round1-fullrerun-20260429/tokio-1.24.1,erasan_crates/tokio-1.24.1/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],64.35,0,ok,0.07407407407407407,0,0,1,0,ok,validated,api::tokio::io::read_buf::ReadBuf::assume_init,tokio::io::read_buf::ReadBuf::assume_init,3.45,,
arc-swap-1.0.0,112.39,,0.66,0,ok,0.25,0,ok,57.22,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/arc-swap-1.0.0/Cargo.toml,erasan_crates/arc-swap-1.0.0/Cargo.toml,validated,ERASAN,0.24,0,ok,arc-swap-1.0.0,2,/tmp/seraph-deepsurf-round1-fullrerun-20260429/arc-swap-1.0.0,erasan_crates/arc-swap-1.0.0/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],54.02,0,ok,0.1,0,0,1,0,ok,validated,api::arc_swap::ArcSwapAny::load,arc_swap::ArcSwapAny::load,2.3,,
lru-0.6.6,92.91,,0.51,0,ok,0.26,0,ok,21.63,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/lru-0.6.6/Cargo.toml,erasan_crates/lru-0.6.6/Cargo.toml,validated,ERASAN,0.24,0,ok,lru-0.6.6,9,/tmp/seraph-deepsurf-round1-fullrerun-20260429/lru-0.6.6,erasan_crates/lru-0.6.6/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],70.27,0,ok,0.21052631578947367,0,0,1,0,ok,validated,api::lru::LruCache::iter,lru::LruCache::iter,2.3,,
nano_arena-0.5.2,151.74,,0.51,0,ok,0.25,0,ok,85.73,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/nano_arena-0.5.2/Cargo.toml,erasan_crates/nano_arena-0.5.2/Cargo.toml,validated,ERASAN,0.24,0,ok,nano_arena-0.5.2,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/nano_arena-0.5.2,erasan_crates/nano_arena-0.5.2/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],65.01,0,ok,0.16666666666666666,0,0,1,0,ok,validated,api::nano_arena::Arena::split_at,nano_arena::Arena::split_at,2.2,,
smallvec-0.6.6,289.68,,0.71,0,ok,0.31,0,ok,167.61,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/smallvec-0.6.6/Cargo.toml,erasan_crates/smallvec-0.6.6/Cargo.toml,validated,ERASAN,0.24,0,ok,smallvec-0.6.6,13,/tmp/seraph-deepsurf-round1-fullrerun-20260429/smallvec-0.6.6,erasan_crates/smallvec-0.6.6/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],120.81,0,ok,0.17647058823529413,0,0,1,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
smallvec-1.6.0,260.64,,0.55,0,ok,0.35,0,ok,111.43,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/smallvec-1.6.0/Cargo.toml,erasan_crates/smallvec-1.6.0/Cargo.toml,validated,ERASAN,0.24,0,ok,smallvec-1.6.0,14,/tmp/seraph-deepsurf-round1-fullrerun-20260429/smallvec-1.6.0,erasan_crates/smallvec-1.6.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],148.07,0,ok,0.02857142857142857,0,0,1,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
stack_dst-0.6.0,56.17,,0.48,0,ok,0.25,0,ok,14.04,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/stack_dst-0.6.0/Cargo.toml,erasan_crates/stack_dst-0.6.0/Cargo.toml,validated,ERASAN,0.23,0,ok,stack_dst-0.6.0,7,/tmp/seraph-deepsurf-round1-fullrerun-20260429/stack_dst-0.6.0,erasan_crates/stack_dst-0.6.0/Cargo.toml,"[""harness_001_01"", ""harness_001_01_fixed_01""]","[""bin \""harness_001_01\"""", ""bin \""harness_001_01_fixed_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],41.17,0,ok,0.0,0,0,1,0,ok,validated,api::stack_dst::value::ValueA::new_raw,stack_dst::value::ValueA::new_raw,3.3,,
stackvector-1.0.8,115.37,,0.62,0,ok,0.29,0,ok,43.69,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/stackvector-1.0.8/Cargo.toml,erasan_crates/stackvector-1.0.8/Cargo.toml,validated,ERASAN,0.24,0,ok,stackvector-1.0.8,10,/tmp/seraph-deepsurf-round1-fullrerun-20260429/stackvector-1.0.8,erasan_crates/stackvector-1.0.8/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],70.53,0,ok,0.12121212121212122,0,0,1,0,ok,validated,api::stackvector::StackVec::drain,stackvector::StackVec::drain,2.3,,
arenavec-0.1.1,150.6,,0.61,0,ok,0.26,0,ok,70.27,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/arenavec-0.1.1/Cargo.toml,rustsan_crates/arenavec-0.1.1/Cargo.toml,runtime_error,RUSTSAN,0.24,0,ok,arenavec-0.1.1,8,/tmp/seraph-deepsurf-round1-fullrerun-20260429/arenavec-0.1.1,rustsan_crates/arenavec-0.1.1/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],79.22,0,ok,0.28,1,1,0,0,bug,validated,api::arenavec::common::SliceVec::split_off,arenavec::common::SliceVec::split_off,2.3,,
array-queue-0.3.3,71.99,,0.53,0,ok,0.24,0,ok,19.25,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/array-queue-0.3.3/Cargo.toml,rustsan_crates/array-queue-0.3.3/Cargo.toml,validated,RUSTSAN,0.24,0,ok,array-queue-0.3.3,3,/tmp/seraph-deepsurf-round1-fullrerun-20260429/array-queue-0.3.3,rustsan_crates/array-queue-0.3.3/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],51.72,0,ok,0.9090909090909091,0,0,1,0,ok,validated,api::array_queue::array_queue::ArrayQueue::new,array_queue::array_queue::ArrayQueue::new,2.3,,
base64-0.5.1,62.23,,0.52,0,ok,0.25,0,ok,16.36,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/base64-0.5.1/Cargo.toml,rustsan_crates/base64-0.5.1/Cargo.toml,validated,RUSTSAN,0.24,0,ok,base64-0.5.1,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/base64-0.5.1,rustsan_crates/base64-0.5.1/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],44.86,0,ok,0.16666666666666666,0,0,1,0,ok,validated,api::base64::encode_config_buf,base64::encode_config_buf,2.2,,
bumpalo-3.2.0,70.0,,0.45,0,ok,0.3,0,ok,29.77,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/bumpalo-3.2.0/Cargo.toml,rustsan_crates/bumpalo-3.2.0/Cargo.toml,validated,RUSTSAN,0.24,0,ok,bumpalo-3.2.0,8,/tmp/seraph-deepsurf-round1-fullrerun-20260429/bumpalo-3.2.0,rustsan_crates/bumpalo-3.2.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],39.25,0,ok,0.2,0,0,1,0,ok,validated,api::bumpalo::Bump::with_capacity,bumpalo::Bump::with_capacity,2.3,,
chttp-0.1.2,12.38,,12.37,1,failed,,,,,,,/tmp/deepSURF-main/dataset/rustsan_crates/chttp-0.1.2/Cargo.toml,rustsan_crates/chttp-0.1.2/Cargo.toml,extract_failed,RUSTSAN,,,,chttp-0.1.2,,/tmp/seraph-deepsurf-round1-fullrerun-20260429/chttp-0.1.2,rustsan_crates/chttp-0.1.2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,"  error occurred in cc-rs: command did not execute successfully (status code exit status: 1): LC_ALL=""C"" ""cc"" ""-O0"" ""-ffunction-sections"" ""-fdata-sections"" ""-fPIC"" ""-g"" ""-gdwarf-4"" ""-fno-omit-frame-pointer"" ""-m64"" ""-I"" ""curl/lib"" ""-I"" ""curl/include"" ""-I"" ""/usr/include"" ""-I"" ""/usr/include"" ""-w"" ""-fvisibility=hidden"" ""-DBUILDING_LIBCURL"" ""-DCURL_DISABLE_DICT"" ""-DCURL_DISABLE_GOPHER"" ""-DCURL_DISABLE_",extract
flatbuffers-0.8.0,0.74,,0.74,1,failed,,,,,,,/tmp/deepSURF-main/dataset/rustsan_crates/flatbuffers-0.8.0/Cargo.toml,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,extract_failed,RUSTSAN,,,,flatbuffers-0.8.0,,/tmp/seraph-deepsurf-round1-fullrerun-20260429/flatbuffers-0.8.0,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 407276",extract
generic-array-0.13.2,79.24,,0.51,0,ok,0.25,0,ok,26.66,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/generic-array-0.13.2/Cargo.toml,rustsan_crates/generic-array-0.13.2/Cargo.toml,validated,RUSTSAN,0.25,0,ok,generic-array-0.13.2,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/generic-array-0.13.2,rustsan_crates/generic-array-0.13.2/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],51.57,0,ok,0.0,0,0,1,0,ok,validated,api::generic_array::GenericArray::from_exact_iter,generic_array::GenericArray::from_exact_iter,2.3,,
id-map-0.2.1,120.1,,0.58,0,ok,0.26,0,ok,40.4,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/id-map-0.2.1/Cargo.toml,rustsan_crates/id-map-0.2.1/Cargo.toml,bug,RUSTSAN,0.24,0,ok,id-map-0.2.1,4,/tmp/seraph-deepsurf-round1-fullrerun-20260429/id-map-0.2.1,rustsan_crates/id-map-0.2.1/Cargo.toml,[],[],,1,ok,1.0,ok,0,"[""api::id_map::IdMap::into_iter""]",[],78.62,0,ok,0.25,1,1,0,0,bug,validated,api::id_map::IdMap::into_iter,id_map::IdMap::into_iter,2.3,,
safe-transmute-0.10.0,107.3,,0.52,0,ok,0.29,0,ok,41.05,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/safe-transmute-0.10.0/Cargo.toml,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,validated,RUSTSAN,0.24,0,ok,safe-transmute-0.10.0,28,/tmp/seraph-deepsurf-round1-fullrerun-20260429/safe-transmute-0.10.0,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],65.21,0,ok,0.0,0,0,1,0,ok,validated,api::safe_transmute::bool::guarded_transmute_bool_pedantic,safe_transmute::bool::guarded_transmute_bool_pedantic,2.2,,
scratchpad-1.3.0,246.95,,1.0,0,ok,0.41,0,ok,99.11,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/scratchpad-1.3.0/Cargo.toml,rustsan_crates/scratchpad-1.3.0/Cargo.toml,crate_build_failed,RUSTSAN,0.24,0,ok,scratchpad-1.3.0,31,/tmp/seraph-deepsurf-round1-fullrerun-20260429/scratchpad-1.3.0,rustsan_crates/scratchpad-1.3.0/Cargo.toml,"[""scratchpad""]","[""lib""]",crate_build_failed,0,failed,0.0,failed,0,[],[],146.18,0,ok,0.0,0,0,0,0,skipped,attempted,api::scratchpad::allocation::Allocation::concat_unchecked,scratchpad::allocation::Allocation::concat_unchecked,5.05,,
sized-chunks-0.6.2,158.32,,0.74,0,ok,0.35,0,ok,49.13,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/sized-chunks-0.6.2/Cargo.toml,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,validated,RUSTSAN,0.24,0,ok,sized-chunks-0.6.2,26,/tmp/seraph-deepsurf-round1-fullrerun-20260429/sized-chunks-0.6.2,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],107.85,0,ok,0.18518518518518517,0,0,1,0,ok,validated,api::sized_chunks::sparse_chunk::SparseChunk::get_unchecked,sized_chunks::sparse_chunk::SparseChunk::get_unchecked,4.95,,
slice-deque-0.1.15,196.78,,0.9,0,ok,0.38,0,ok,58.41,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/slice-deque-0.1.15/Cargo.toml,rustsan_crates/slice-deque-0.1.15/Cargo.toml,crate_build_failed,RUSTSAN,0.24,0,ok,slice-deque-0.1.15,29,/tmp/seraph-deepsurf-round1-fullrerun-20260429/slice-deque-0.1.15,rustsan_crates/slice-deque-0.1.15/Cargo.toml,"[""slice-deque""]","[""lib""]",crate_build_failed,0,failed,0.0,failed,0,[],[],136.84,0,ok,0.0,0,0,0,0,skipped,attempted,api::slice_deque::SliceDeque::move_head_unchecked,slice_deque::SliceDeque::move_head_unchecked,3.7,,
smallvec-0.6.1,180.92,,0.65,0,ok,0.28,0,ok,77.04,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/smallvec-0.6.1/Cargo.toml,rustsan_crates/smallvec-0.6.1/Cargo.toml,validated,RUSTSAN,0.24,0,ok,smallvec-0.6.1,12,/tmp/seraph-deepsurf-round1-fullrerun-20260429/smallvec-0.6.1,rustsan_crates/smallvec-0.6.1/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],102.71,0,ok,0.16666666666666666,0,0,1,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
smallvec-0.6.3,102.23,,0.66,0,ok,0.28,0,ok,44.84,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/smallvec-0.6.3/Cargo.toml,rustsan_crates/smallvec-0.6.3/Cargo.toml,validated,RUSTSAN,0.24,0,ok,smallvec-0.6.3,12,/tmp/seraph-deepsurf-round1-fullrerun-20260429/smallvec-0.6.3,rustsan_crates/smallvec-0.6.3/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],56.2,0,ok,0.2,0,0,1,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
stack-0.3.0,112.8,,0.66,0,ok,0.27,0,ok,41.83,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/stack-0.3.0/Cargo.toml,rustsan_crates/stack-0.3.0/Cargo.toml,validated,RUSTSAN,0.24,0,ok,stack-0.3.0,12,/tmp/seraph-deepsurf-round1-fullrerun-20260429/stack-0.3.0,rustsan_crates/stack-0.3.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],69.8,0,ok,0.0,0,0,1,0,ok,validated,api::stack::array_vec::ArrayVec::into_inner,stack::array_vec::ArrayVec::into_inner,2.3,,
